company,name,year,selling_price,km_driven,fuel,transmission,owner
Mahindra,Mahindra XUV300 W6 Diesel,2019,950000,17000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R VXI,2017,400000,50000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.4 Magna,2018,700000,42000,Petrol,Automatic,First Owner
Toyota,Toyota Innova 2.5 G,2011,700000,120000,Diesel,Manual,Second Owner
Mahindra,Mahindra Verito 1.5 D4,2012,260000,110000,Diesel,Manual,First Owner
Tata,Tata Indigo CR4,2012,200000,90000,Diesel,Manual,First Owner
Maruti,Maruti Dzire VXI,2020,580000,70000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Vento IPL II,2011,330000,66000,Diesel,Manual,Second Owner
Hyundai,Hyundai Verna Transform CRDi,2011,400000,70000,Diesel,Manual,Third Owner
Hyundai,Hyundai Creta 1.6 SX,2018,1350000,5000,Petrol,Automatic,First Owner
Mahindra,Mahindra Verito 1.5 D4,2014,250000,50000,Diesel,Manual,Second Owner
Skoda,Skoda Rapid 1.6 MPI,2019,725000,25000,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire Tour,2013,300000,70000,Diesel,Manual,First Owner
Maruti,Maruti 800 AC,2006,120000,40000,Petrol,Manual,Second Owner
Mahindra,Mahindra XUV500 W10 2WD,2016,1175000,110000,Diesel,Manual,First Owner
Tata,Tata New Safari DICOR,2009,380000,150000,Diesel,Manual,First Owner
Tata,Tata Indica Vista TDI,2014,400000,45000,Diesel,Manual,First Owner
Tata,Tata Indigo LX,2005,140000,90000,Diesel,Manual,Third Owner
Tata,Tata New Safari DICOR,2011,229999,140000,Diesel,Manual,Second Owner
Ford,Ford Ikon 1.3 CLXi,2003,110000,83000,Petrol,Manual,Second Owner
Volkswagen,Volkswagen Jetta 2.0L TDI,2011,550000,106000,Diesel,Automatic,Second Owner
Maruti,Maruti Omni E MPI,2017,265000,40000,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Asta,2011,300000,138000,Petrol,Manual,Third Owner
Maruti,Maruti Alto 800 LXI,2015,280000,80000,Petrol,Manual,First Owner
Hyundai,Hyundai Getz GLS,2005,130000,50000,Petrol,Manual,Second Owner
Chevrolet,Chevrolet Sail 1.2 LS,2015,350000,50000,Petrol,Manual,First Owner
Maruti,Maruti Ritz VXi,2009,200000,120000,Petrol,Manual,First Owner
Maruti,Maruti Swift VXI,2018,550000,24400,Petrol,Manual,First Owner
Mahindra,Mahindra Bolero 2011-2019 SLX,2013,400000,60000,Diesel,Manual,Second Owner
Maruti,Maruti Ritz VXi (ABS),2010,170000,120000,Petrol,Manual,Second Owner
Hyundai,Hyundai Verna 1.4 CRDi,2015,600000,60000,Diesel,Manual,Second Owner
Maruti,Maruti Alto LXi,2011,130000,100000,Petrol,Manual,Second Owner
Hyundai,Hyundai Santro Xing GL,2007,120000,60000,CNG,Manual,Second Owner
Maruti,Maruti 800 AC,2011,100000,120000,Petrol,Manual,Second Owner
Renault,Renault KWID RXT,2016,310000,27500,Petrol,Manual,First Owner
Maruti,Maruti 800 AC,2007,35000,10000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Magna,2010,200000,120000,Petrol,Manual,Third Owner
Maruti,Maruti Swift VDI BSIV,2009,270000,70000,Diesel,Manual,Second Owner
Hyundai,Hyundai i20 Sportz 1.4,2015,650000,80000,Diesel,Manual,First Owner
Tata,Tata Indigo eCS GLS,2013,210000,120000,Petrol,Manual,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi,2015,509999,90000,Diesel,Manual,First Owner
Ford,Ford Figo Diesel Celebration,2013,229999,70000,Diesel,Manual,First Owner
Renault,Renault Duster 110PS Diesel,2014,409999,188000,Diesel,Manual,Second Owner
Chevrolet,Chevrolet Spark 1.0 LT,2011,130000,67840,Petrol,Manual,First Owner
Tata,Tata Nano CX,2013,95000,30000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2016,225000,35000,Petrol,Manual,Second Owner
Maruti,Maruti Swift VDI BSIV,2010,256999,150000,Diesel,Manual,Second Owner
Maruti,Maruti Vitara Brezza VDi,2017,775000,100000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R VXI,2017,420000,30000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Sportz,2016,480000,70000,Petrol,Manual,First Owner
Toyota,Toyota Qualis GS G1,2003,200000,149032,Diesel,Manual,First Owner
Mahindra,Mahindra Bolero SLE,2010,260000,380000,Diesel,Manual,Second Owner
Toyota,Toyota Etios Liva G,2011,210000,84050,Petrol,Manual,First Owner
Volkswagen,Volkswagen Polo 2015-2019 1.2,2018,600000,15000,Petrol,Manual,First Owner
Ford,Ford Ikon 1.4 TDCi,2009,140000,140000,Diesel,Manual,Second Owner
Maruti,Maruti Omni 8 Seater,2010,130000,120000,Petrol,Manual,Third Owner
Maruti,Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Manual,First Owner
Tata,Tata Indica Vista TDI,2013,210000,135000,Diesel,Manual,Second Owner
Maruti,Maruti Wagon R LX,2006,130000,80000,Petrol,Manual,Third Owner
Chevrolet,Chevrolet Beat LT,2012,141000,128000,Petrol,Manual,Third Owner
Mahindra,Mahindra Bolero SLE BSIII,2011,280000,120000,Diesel,Manual,First Owner
Maruti,Maruti SX4 ZXI AT,2010,350000,30000,Petrol,Automatic,First Owner
Tata,Tata Nexon 1.2 Revotron,2018,575000,70000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Sportz Option,2015,550000,41000,Petrol,Manual,First Owner
Toyota,Toyota Etios V,2011,420000,28100,Petrol,Manual,First Owner
Maruti,Maruti Alto LX,2006,120000,30000,Petrol,Manual,Second Owner
Maruti,Maruti Alto K10 VXI,2015,320000,30000,Petrol,Manual,First Owner
Hyundai,Hyundai Accent Executive,2011,250000,35000,Petrol,Manual,First Owner
Maruti,Maruti SX4 Zxi BSIII,2010,300000,22000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R VXI,2006,250000,70000,Petrol,Manual,First Owner
Maruti,Maruti Omni E 8,2005,120000,100000,Petrol,Manual,Second Owner
Mahindra,Mahindra Bolero 2011-2019 mHAWK,2018,750000,70000,Diesel,Manual,First Owner
Mahindra,Mahindra Scorpio 2.6 CRDe,2005,151000,200000,Diesel,Manual,Second Owner
Tata,Tata Safari DICOR 2.2,2011,300000,120000,Diesel,Manual,First Owner
Maruti,Maruti Ignis 1.2 Zeta,2019,577000,3000,Petrol,Manual,First Owner
Maruti,Maruti Alto K10 2010-2014,2012,229999,50000,Petrol,Manual,First Owner
Mahindra,Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,Diesel,Manual,First Owner
Honda,Honda Jazz VX CVT,2019,840000,1500,Petrol,Automatic,First Owner
Volkswagen,Volkswagen Vento 1.5 TDI,2017,900000,74000,Diesel,Manual,First Owner
Honda,Honda Jazz 1.2 V,2017,650000,25000,Petrol,Manual,First Owner
Honda,Honda Jazz 1.5 VX,2016,650000,61915,Diesel,Manual,First Owner
Hyundai,Hyundai EON Era Plus,2016,250000,110000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Polo 1.5 TDI,2016,550000,70000,Diesel,Manual,First Owner
Mahindra,Mahindra Quanto C4,2013,350000,110000,Diesel,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel LT,2014,185000,90000,Diesel,Manual,Second Owner
Ford,Ford Figo Petrol Titanium,2010,229999,120000,Petrol,Manual,Third Owner
Toyota,Toyota Innova 2.5 G,2016,1000000,65000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R VXI,2019,490000,10000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz,2009,150000,80000,Petrol,Manual,Second Owner
Maruti,Maruti Ertiga VDI,2013,600000,184000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R CNG,2013,270000,80000,CNG,Manual,Second Owner
Maruti,Maruti Zen LXi -,2005,60000,70000,Petrol,Manual,Second Owner
Maruti,Maruti SX4 Zxi with,2008,150000,89000,Petrol,Manual,Second Owner
Honda,Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Manual,First Owner
Maruti,Maruti Swift VDI,2013,525000,69000,Diesel,Manual,Second Owner
Hyundai,Hyundai Grand i10 AT,2015,465000,63063,Petrol,Automatic,First Owner
Tata,Tata Indica V2 eLX,2012,83000,90000,Diesel,Manual,Second Owner
Hyundai,Hyundai EON Era Plus,2017,300000,8000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.2 Sportz,2012,350000,35000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.2 Sportz,2011,300000,45000,Petrol,Manual,First Owner
Fiat,Fiat Linea 1.3 Active,2011,250000,30000,Diesel,Manual,First Owner
Maruti,Maruti 800 Std,2006,114999,59000,Petrol,Manual,Second Owner
Maruti,Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Manual,First Owner
Maruti,Maruti Celerio X ZXI,2020,250000,120000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R LXI,2016,350000,70000,Petrol,Manual,First Owner
Maruti,Maruti Omni 5 Str,1998,80000,70000,Petrol,Manual,First Owner
Mahindra,Mahindra Scorpio S2 7,2017,850000,110000,Diesel,Manual,First Owner
Hyundai,Hyundai Santro Xing XG,2004,70000,158000,Petrol,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LS,2007,90000,93000,Petrol,Manual,Third Owner
Chevrolet,Chevrolet Tavera Neo 3,2014,600000,110000,Diesel,Manual,First Owner
Maruti,Maruti Alto LX,2007,135000,57000,Petrol,Manual,First Owner
Hyundai,Hyundai Accent GLE,2005,150000,120000,Petrol,Manual,First Owner
Tata,Tata Indigo CS eLX,2012,259000,35000,Diesel,Manual,First Owner
Tata,Tata Indigo CS eLS,2012,220000,90000,Diesel,Manual,First Owner
Tata,Tata Indigo eCS LX,2012,246000,35000,Diesel,Manual,Second Owner
Maruti,Maruti Swift Dzire VXi,2009,240000,120000,Petrol,Manual,First Owner
Hyundai,Hyundai Creta 1.4 E,2018,946000,60000,Diesel,Manual,First Owner
Tata,Tata Indigo eCS LX,2011,215000,70000,Diesel,Manual,First Owner
Honda,Honda Amaze S i-Dtech,2013,310000,100000,Diesel,Manual,First Owner
Hyundai,Hyundai i10 Magna,2008,220000,35000,Petrol,Manual,First Owner
Maruti,Maruti Swift Vdi BSIII,2008,195000,90000,Diesel,Manual,Third Owner
Hyundai,Hyundai i20 Active 1.2,2015,650000,50000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.2 Magna,2011,350000,98000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Asta 1.2,2013,360000,30000,Petrol,Manual,First Owner
Hyundai,Hyundai Elantra SX,2013,550000,50000,Petrol,Manual,Second Owner
Hyundai,Hyundai Grand i10 Sportz,2016,490000,26000,Petrol,Manual,First Owner
Maruti,Maruti Alto LXi,2011,195000,46000,Petrol,Manual,Second Owner
Tata,Tata Tiago 1.2 Revotron,2019,459999,10000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2015,275000,16700,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2018,680000,70000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire ZXI,2015,600000,7967,Petrol,Manual,First Owner
Maruti,Maruti Swift ZXI Plus,2018,720000,20000,Petrol,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,2011,295000,50000,Diesel,Manual,First Owner
Renault,Renault KWID RXT Optional,2016,356000,9656,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Era,2011,225000,50000,Petrol,Manual,First Owner
Ford,Ford Freestyle Titanium Diesel,2019,725000,17000,Diesel,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LT,2010,130000,50000,Petrol,Manual,First Owner
Renault,Renault KWID RXT,2015,300000,10000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Sportz 1.2,2013,400000,43000,Petrol,Manual,Second Owner
Hyundai,Hyundai Verna 1.4 CX,2013,550000,50000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R PRIMEA,2006,120000,90000,Petrol,Manual,Second Owner
Mahindra,Mahindra Xylo D4 BSIV,2012,409999,100000,Diesel,Manual,Second Owner
Hyundai,Hyundai Santro Xing (Non-AC),2010,110000,80000,Petrol,Manual,Second Owner
Mahindra,Mahindra Bolero 2011-2019 SLX,2012,450000,120000,Diesel,Manual,First Owner
Maruti,Maruti Swift VXI,2019,610000,5000,Petrol,Manual,First Owner
Ford,Ford Ecosport 1.5 DV5,2016,515000,68609,Diesel,Manual,First Owner
Ford,Ford EcoSport 1.5 TDCi,2018,925000,33360,Diesel,Manual,First Owner
Nissan,Nissan Kicks XL BSIV,2019,860000,14317,Petrol,Manual,First Owner
Ford,Ford Figo Diesel Titanium,2012,225000,87237,Diesel,Manual,Second Owner
Ford,Ford Figo 1.5D Trend,2017,500000,62960,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire AMT,2017,600000,26634,Petrol,Automatic,First Owner
Ford,Ford Figo Diesel EXI,2012,195000,163720,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2012,265000,67998,Petrol,Manual,First Owner
Ford,Ford Freestyle Trend Diesel,2018,650000,20706,Diesel,Manual,First Owner
Ford,Ford Figo Aspire 1.5,2015,415000,100581,Diesel,Manual,First Owner
Renault,Renault Duster 85PS Diesel,2015,600000,67303,Diesel,Manual,First Owner
Maruti,Maruti Ritz VXi,2013,340000,79139,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 CRDi,2014,350000,84784,Diesel,Manual,First Owner
Maruti,Maruti Ritz LDi,2012,265000,130376,Diesel,Manual,Second Owner
Tata,Tata Safari DICOR 2.2,2017,625000,72000,Diesel,Manual,First Owner
Hyundai,Hyundai Verna CRDi SX,2008,245000,127000,Diesel,Manual,Second Owner
Maruti,Maruti Swift VDI BSIV,2014,395000,120000,Diesel,Manual,First Owner
Fiat,Fiat Punto 1.3 Emotion,2010,190000,120000,Diesel,Manual,Second Owner
Hyundai,Hyundai Xcent 1.1 CRDi,2014,490000,100000,Diesel,Manual,First Owner
Toyota,Toyota Etios GD,2012,450000,148000,Diesel,Manual,Second Owner
Maruti,Maruti Ertiga SHVS VDI,2018,955000,40000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2013,525000,110000,Diesel,Manual,First Owner
Tata,Tata Tigor 1.2 Revotron,2017,550000,30000,Petrol,Manual,First Owner
Tata,Tata Indica Vista TDI,2014,200000,120000,Diesel,Manual,Second Owner
Ford,Ford Figo Aspire 1.2,2017,500000,15000,Petrol,Manual,First Owner
Maruti,Maruti SX4 S Cross,2016,825000,33500,Diesel,Manual,First Owner
Mahindra,Mahindra Quanto C6,2012,250000,70000,Diesel,Manual,First Owner
Toyota,Toyota Etios Cross 1.2L,2015,600000,10000,Petrol,Manual,First Owner
Mahindra,Mahindra Scorpio S7 120,2018,1325000,22053,Diesel,Manual,First Owner
Mahindra,Mahindra TUV 300 T8,2016,770000,50000,Diesel,Manual,First Owner
Chevrolet,Chevrolet Optra Magnum 2.0,2011,415000,78432,Diesel,Manual,First Owner
Hyundai,Hyundai Santa Fe 4X4,2011,825000,125000,Diesel,Manual,Second Owner
Ford,Ford Aspire Trend Diesel,2018,530000,80000,Diesel,Manual,First Owner
Toyota,Toyota Innova 2.5 V,2006,425000,270000,Diesel,Manual,Third Owner
Honda,Honda Brio V MT,2012,310000,50000,Petrol,Manual,Second Owner
Tata,Tata Tiago 1.2 Revotron,2017,390000,20000,Petrol,Manual,First Owner
Hyundai,Hyundai Creta 1.6 VTVT,2016,700000,30000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz 1.1L,2010,200000,70000,Petrol,Manual,Second Owner
Toyota,Toyota Innova 2.5 G,2013,1050000,7200,Diesel,Manual,First Owner
Honda,Honda City i DTEC,2014,580000,97000,Diesel,Manual,First Owner
Hyundai,Hyundai EON Era Plus,2014,200000,60000,Petrol,Manual,Second Owner
Chevrolet,Chevrolet Sail Hatchback Petrol,2013,245000,25000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz,2010,210000,94000,Petrol,Manual,Second Owner
Maruti,Maruti Baleno LXI,2005,50000,90000,Petrol,Manual,Second Owner
Chevrolet,Chevrolet Captiva 2.2 LTZ,2012,700000,50000,Diesel,Automatic,Second Owner
Tata,Tata Bolt Quadrajet XE,2019,660000,35000,Diesel,Manual,First Owner
Honda,Honda City i VTEC,2015,630000,117500,Petrol,Manual,Second Owner
Mahindra,Mahindra XUV500 W8 2WD,2012,950000,78500,Diesel,Manual,First Owner
Hyundai,Hyundai i20 1.2 Asta,2018,740000,8000,Petrol,Manual,First Owner
Ford,Ford Figo Aspire 1.2,2017,570000,25000,Petrol,Manual,First Owner
Hyundai,Hyundai Verna 1.6 SX,2012,450000,60000,Diesel,Manual,Third Owner
Datsun,Datsun RediGO 1.0 T,2019,390000,10000,Petrol,Manual,First Owner
Ford,Ford Ikon 1.6 Nxt,2009,180000,70000,Petrol,Manual,Second Owner
Tata,Tata Nano LX,2015,130000,60000,Petrol,Manual,First Owner
Honda,Honda City 2017-2020 GXi,2006,270000,70000,Petrol,Manual,Second Owner
Maruti,Maruti 800 DX,1997,60000,25000,Petrol,Manual,Third Owner
Hyundai,Hyundai Verna 1.6 Xi,2006,170000,90000,Petrol,Manual,Third Owner
Hyundai,Hyundai Creta 1.6 CRDi,2015,978999,90000,Diesel,Manual,First Owner
Tata,Tata Tiago 1.2 Revotron,2018,490000,25000,Petrol,Manual,First Owner
Ford,Ford Fiesta Diesel Style,2012,280000,60000,Diesel,Manual,Second Owner
Tata,Tata Tiago 1.2 Revotron,2018,390000,25000,Petrol,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0,2008,45000,70000,Petrol,Manual,First Owner
Maruti,Maruti Ertiga SHVS VDI,2016,640000,80000,Diesel,Manual,Second Owner
Mahindra,Mahindra Scorpio S2 9,2015,650000,110000,Diesel,Manual,Second Owner
Mahindra,Mahindra Scorpio LX,2013,500000,115717,Diesel,Manual,First Owner
Ford,Ford Fusion Plus 1.4,2008,90000,110000,Diesel,Manual,Second Owner
Tata,Tata Aria Pure LX,2014,480000,70000,Diesel,Manual,Second Owner
Maruti,Maruti Swift VXI,2019,630000,4000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz,2011,250000,50000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Magna,2009,180000,70000,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 Magna,2010,210000,50000,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire ZDI,2016,550000,55000,Diesel,Manual,First Owner
Tata,Tata Nexon 1.2 Revotron,2020,950000,5000,Petrol,Automatic,First Owner
Mahindra,Mahindra Bolero 2011-2019 ZLX,2013,430000,100000,Diesel,Manual,Second Owner
Hyundai,Hyundai i10 Sportz,2014,348000,23000,Petrol,Manual,Second Owner
Maruti,Maruti Alto 800 LX,2014,196000,60000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R LXI,2010,150000,70000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R LXI,2009,150000,60000,Petrol,Manual,Second Owner
Tata,Tata Safari Storme VX,2019,1250000,100000,Diesel,Manual,First Owner
Maruti,Maruti Ertiga VDI,2015,600000,90000,Diesel,Manual,Third Owner
Tata,Tata Nano Lx BSIV,2010,65000,26432,Petrol,Manual,First Owner
Maruti,Maruti Omni E 8,2016,220000,46702,Petrol,Manual,First Owner
Maruti,Maruti Omni E 8,2016,220000,46706,Petrol,Manual,First Owner
Tata,Tata Indica V2 eXeta,2006,110000,53523,Petrol,Manual,First Owner
Chevrolet,Chevrolet Beat Diesel LT,2012,175000,56365,Diesel,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LT,2011,160000,49563,Petrol,Manual,First Owner
Maruti,Maruti 800 Std BSIII,2004,65000,56432,Petrol,Manual,First Owner
Maruti,Maruti 800 AC,2002,60000,52365,Petrol,Manual,Second Owner
Maruti,Maruti Alto LXi BSIII,2007,120000,53512,Petrol,Manual,Second Owner
Hyundai,Hyundai Santro Xing XG,2005,110000,53563,Petrol,Manual,Second Owner
Mahindra,Mahindra Ssangyong Rexton RX7,2013,1000000,40000,Diesel,Automatic,First Owner
Maruti,Maruti Wagon R LXI,2010,220000,46533,Petrol,Manual,First Owner
Maruti,Maruti Omni E 8,2005,105000,59635,Petrol,Manual,Second Owner
Maruti,Maruti Omni 8 Seater,2008,114999,58632,Petrol,Manual,Second Owner
Maruti,Maruti Omni LPG STD,2008,110000,58632,LPG,Manual,Second Owner
Mahindra,Mahindra XUV500 AT W6,2016,850000,80000,Diesel,Automatic,Second Owner
Maruti,Maruti Ertiga SHVS VDI,2016,750000,70000,Diesel,Manual,First Owner
Renault,Renault KWID 1.0 RXT,2017,265000,90000,Petrol,Manual,First Owner
Ford,Ford Classic 1.6 Duratec,2014,450000,110000,Petrol,Manual,Second Owner
Mahindra,Mahindra Quanto C6,2013,225000,90000,Diesel,Manual,First Owner
Mahindra,Mahindra Scorpio S10 7,2015,1125000,70000,Diesel,Manual,First Owner
Maruti,Maruti Swift VXI with,2009,270000,80000,Petrol,Manual,First Owner
Maruti,Maruti Alto LX,2007,130000,78000,Petrol,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus,2017,660000,45000,Diesel,Manual,First Owner
Maruti,Maruti Alto K10 VXI,2015,240000,50000,Petrol,Manual,Second Owner
Maruti,Maruti Alto 800 LXI,2017,275000,58000,Petrol,Manual,First Owner
Toyota,Toyota Innova 2.5 VX,2012,750000,120000,Diesel,Manual,First Owner
Chevrolet,Chevrolet Aveo U-VA 1.2,2007,65000,30000,Petrol,Manual,Second Owner
Tata,Tata Safari Storme EX,2017,850000,162000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2016,300000,50000,CNG,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Magna,2018,555000,25000,Petrol,Manual,Second Owner
Mahindra,Mahindra Scorpio 1.99 S6,2015,825000,60000,Diesel,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,2010,150000,70000,LPG,Manual,Third Owner
Maruti,Maruti Swift Dzire VDi,2009,185000,138000,Diesel,Manual,Second Owner
Hyundai,Hyundai i10 Magna,2010,180000,70000,Petrol,Manual,Second Owner
Maruti,Maruti Alto LXi,2010,160000,48000,Petrol,Manual,Second Owner
Ford,Ford Endeavour 3.0L 4X2,2012,500000,110000,Diesel,Automatic,First Owner
Maruti,Maruti Swift VDI BSIV,2014,375000,88000,Diesel,Manual,Second Owner
Toyota,Toyota Innova 2.5 GX,2015,900000,68000,Diesel,Manual,First Owner
Hyundai,Hyundai Grand i10 Sportz,2017,459999,70000,Petrol,Manual,First Owner
Renault,Renault Duster 85PS Diesel,2014,480000,80000,Diesel,Manual,First Owner
Maruti,Maruti Swift VDI,2013,320000,100000,Diesel,Manual,Third Owner
Maruti,Maruti Swift VDI,2013,370000,96000,Diesel,Manual,Second Owner
Hyundai,Hyundai Santro Xing Base,2005,80000,123219,Petrol,Manual,Third Owner
Maruti,Maruti Zen LX,2002,75000,30000,Petrol,Manual,Third Owner
Maruti,Maruti Ritz LDi,2016,400000,60000,Diesel,Manual,Third Owner
Honda,Honda City 1.5 GXI,2005,250000,90000,Petrol,Automatic,Second Owner
Maruti,Maruti Swift VDI BSIV,2014,425000,65000,Diesel,Manual,First Owner
Maruti,Maruti Celerio ZXI,2014,325000,48000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,2016,350000,65300,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Asta,2018,600000,40000,Petrol,Manual,First Owner
Chevrolet,Chevrolet Beat Diesel,2012,120000,60000,Diesel,Manual,Second Owner
Maruti,Maruti Alto K10 2010-2014,2012,200000,70000,Petrol,Manual,Second Owner
Maruti,Maruti Alto LXi BSIII,2008,100000,70000,Petrol,Manual,Third Owner
Hyundai,Hyundai Grand i10 CRDi,2014,350000,70000,Diesel,Manual,Second Owner
Maruti,Maruti Alto LXi,2006,85000,150000,Petrol,Manual,Second Owner
Maruti,Maruti Alto K10 VXI,2019,399000,10000,Petrol,Manual,First Owner
Hyundai,Hyundai Verna 1.6 CRDI,2014,580000,56000,Diesel,Manual,First Owner
Datsun,Datsun RediGO T Option,2017,290000,30000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,2014,380000,50000,Petrol,Manual,Second Owner
Ford,Ford Figo Diesel EXI,2010,200000,120000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2018,390000,40000,CNG,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2,2017,500000,27500,Petrol,Manual,First Owner
Maruti,Maruti Ertiga VDI,2012,520000,73000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2017,650000,75000,Diesel,Manual,First Owner
Renault,Renault KWID Climber 1.0,2018,380000,5000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R LXI,2010,275000,50000,LPG,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2015,520000,70000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2015,610000,60000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2004,85000,110000,Petrol,Manual,First Owner
Renault,Renault Duster 85PS Diesel,2013,490000,95000,Diesel,Manual,First Owner
Hyundai,Hyundai EON Era Plus,2015,229999,34000,Petrol,Manual,Second Owner
Hyundai,Hyundai Grand i10 Sportz,2015,411000,25000,Petrol,Manual,First Owner
Maruti,Maruti Eeco CNG 5,2019,362000,120000,CNG,Manual,Second Owner
Toyota,Toyota Etios Cross 1.4L,2014,550000,31000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R LXI,2018,459999,70000,CNG,Manual,First Owner
Maruti,Maruti Ritz VXi (ABS),2011,190000,47000,Petrol,Manual,First Owner
Hyundai,Hyundai Santro Magna AMT,2019,499000,5000,Petrol,Automatic,First Owner
Maruti,Maruti Eeco 7 Seater,2018,358000,44000,Petrol,Manual,First Owner
Toyota,Toyota Etios Diesel TRD,2012,278000,120000,Diesel,Manual,Second Owner
Fiat,Fiat Grande Punto EVO,2014,320000,39395,Diesel,Manual,First Owner
Renault,Renault Fluence 1.5,2013,580000,67000,Diesel,Manual,Second Owner
Honda,Honda City VX CVT,2019,1300000,20000,Petrol,Automatic,First Owner
Honda,Honda Amaze VX i-DTEC,2018,825000,40000,Diesel,Manual,First Owner
Toyota,Toyota Corolla AE,2004,170000,120000,Petrol,Manual,Second Owner
Toyota,Toyota Fortuner 4x4 MT,2014,1700000,80000,Diesel,Manual,Second Owner
Hyundai,Hyundai Santro Sportz BSIV,2018,490000,7000,Petrol,Manual,First Owner
Mahindra,Mahindra XUV500 W4,2018,1050000,15000,Diesel,Manual,First Owner
Chevrolet,Chevrolet Beat LT,2016,210000,50000,Petrol,Manual,First Owner
Mahindra,Mahindra Scorpio Intelli Hybrid,2016,1250000,30000,Diesel,Manual,First Owner
Maruti,Maruti Swift VDI,2012,320000,120000,Diesel,Manual,Second Owner
Chevrolet,Chevrolet Optra Magnum 2.0,2012,400000,64000,Diesel,Manual,First Owner
Maruti,Maruti Ritz VDi,2013,320000,120000,Diesel,Manual,First Owner
Toyota,Toyota Corolla Altis Diesel,2012,600000,85000,Diesel,Manual,First Owner
Maruti,Maruti Alto K10 2010-2014,2012,275000,50000,Petrol,Manual,First Owner
Maruti,Maruti Alto LXi,2009,170000,59000,Petrol,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel LT,2012,155000,98000,Diesel,Manual,First Owner
Tata,Tata Indica Vista Quadrajet,2012,240000,70000,Diesel,Manual,First Owner
Tata,Tata Indica Vista Quadrajet,2012,240000,70000,Diesel,Manual,First Owner
